,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
66,0.2023,Sun Nov 05 01:31:05 +0000 2017,0.909,0.0,0.091,67,@CNN
67,0.0,Sun Nov 05 01:22:49 +0000 2017,1.0,0.0,0.0,68,@CNN
68,0.0,Sun Nov 05 01:01:07 +0000 2017,1.0,0.0,0.0,69,@CNN
69,-0.4404,Sun Nov 05 00:31:04 +0000 2017,0.854,0.146,0.0,70,@CNN
70,-0.4215,Sun Nov 05 00:02:33 +0000 2017,0.851,0.149,0.0,71,@CNN
71,0.6249,Sat Nov 04 23:31:04 +0000 2017,0.814,0.0,0.186,72,@CNN
72,0.0,Sat Nov 04 23:01:06 +0000 2017,1.0,0.0,0.0,73,@CNN
73,-0.5499,Sat Nov 04 22:45:06 +0000 2017,0.754,0.246,0.0,74,@CNN
74,-0.5994,Sat Nov 04 22:30:13 +0000 2017,0.822,0.178,0.0,75,@CNN
75,0.25,Sat Nov 04 22:15:12 +0000 2017,0.9,0.0,0.1,76,@CNN
76,0.0,Sat Nov 04 21:55:08 +0000 2017,1.0,0.0,0.0,77,@CNN
77,-0.5859,Sat Nov 04 21:45:13 +0000 2017,0.566,0.307,0.127,78,@CNN
78,-0.4588,Sat Nov 04 21:35:07 +0000 2017,0.769,0.231,0.0,79,@CNN
79,0.3818,Sat Nov 04 21:24:31 +0000 2017,0.735,0.0,0.265,80,@CNN
80,-0.6808,Sat Nov 04 21:08:50 +0000 2017,0.714,0.286,0.0,81,@CNN
81,0.0,Sat Nov 04 20:56:07 +0000 2017,1.0,0.0,0.0,82,@CNN
82,0.0,Sat Nov 04 20:44:13 +0000 2017,1.0,0.0,0.0,83,@CNN
83,-0.5267,Sat Nov 04 20:30:33 +0000 2017,0.815,0.185,0.0,84,@CNN
84,0.0,Sat Nov 04 20:14:09 +0000 2017,1.0,0.0,0.0,85,@CNN
85,0.0,Sat Nov 04 20:02:44 +0000 2017,1.0,0.0,0.0,86,@CNN
86,0.0,Sat Nov 04 19:45:49 +0000 2017,1.0,0.0,0.0,87,@CNN
87,0.0,Sat Nov 04 19:30:04 +0000 2017,1.0,0.0,0.0,88,@CNN
88,0.0772,Sat Nov 04 19:18:43 +0000 2017,0.4,0.309,0.291,89,@CNN
89,0.5777,Sat Nov 04 19:08:36 +0000 2017,0.828,0.0,0.172,90,@CNN
90,-0.5719,Sat Nov 04 18:55:05 +0000 2017,0.617,0.251,0.132,91,@CNN
91,0.128,Sat Nov 04 18:45:06 +0000 2017,0.914,0.0,0.086,92,@CNN
92,-0.0516,Sat Nov 04 18:36:12 +0000 2017,0.909,0.091,0.0,93,@CNN
93,-0.3818,Sat Nov 04 18:20:13 +0000 2017,0.86,0.14,0.0,94,@CNN
94,-0.8658,Sat Nov 04 18:08:41 +0000 2017,0.637,0.363,0.0,95,@CNN
95,0.5719,Sat Nov 04 17:54:45 +0000 2017,0.778,0.0,0.222,96,@CNN
96,0.0,Sat Nov 04 17:40:50 +0000 2017,1.0,0.0,0.0,97,@CNN
97,0.0,Sat Nov 04 17:29:38 +0000 2017,1.0,0.0,0.0,98,@CNN
98,0.0,Sat Nov 04 17:18:26 +0000 2017,1.0,0.0,0.0,99,@CNN
99,0.4404,Sat Nov 04 17:06:29 +0000 2017,0.818,0.0,0.182,100,@CNN
100,-0.6705,Sun Nov 05 20:08:11 +0000 2017,0.809,0.191,0.0,1,@BBC
101,0.0,Sun Nov 05 19:35:03 +0000 2017,1.0,0.0,0.0,2,@BBC
102,-0.4215,Sun Nov 05 19:02:04 +0000 2017,0.797,0.203,0.0,3,@BBC
103,0.0,Sun Nov 05 18:31:08 +0000 2017,1.0,0.0,0.0,4,@BBC
104,0.4939,Sun Nov 05 18:01:02 +0000 2017,0.758,0.0,0.242,5,@BBC
105,0.0,Sun Nov 05 17:29:05 +0000 2017,1.0,0.0,0.0,6,@BBC
106,0.0,Sun Nov 05 17:01:05 +0000 2017,1.0,0.0,0.0,7,@BBC
107,-0.1027,Sun Nov 05 16:30:06 +0000 2017,0.938,0.062,0.0,8,@BBC
108,0.0,Sun Nov 05 16:02:04 +0000 2017,1.0,0.0,0.0,9,@BBC
109,0.0,Sun Nov 05 15:32:01 +0000 2017,1.0,0.0,0.0,10,@BBC
110,-0.3182,Sun Nov 05 15:00:21 +0000 2017,0.827,0.173,0.0,11,@BBC
111,0.3802,Sun Nov 05 14:30:05 +0000 2017,0.844,0.0,0.156,12,@BBC
112,0.5994,Sun Nov 05 14:00:17 +0000 2017,0.782,0.0,0.218,13,@BBC
113,0.0,Sun Nov 05 13:30:06 +0000 2017,1.0,0.0,0.0,14,@BBC
114,0.0,Sun Nov 05 13:00:08 +0000 2017,1.0,0.0,0.0,15,@BBC
115,0.0,Sun Nov 05 12:01:01 +0000 2017,1.0,0.0,0.0,16,@BBC
116,0.0772,Sun Nov 05 11:00:06 +0000 2017,0.942,0.0,0.058,17,@BBC
117,-0.2349,Sun Nov 05 10:05:04 +0000 2017,0.852,0.096,0.052,18,@BBC
118,0.0,Sun Nov 05 09:30:26 +0000 2017,1.0,0.0,0.0,19,@BBC
119,0.0,Sun Nov 05 09:30:09 +0000 2017,1.0,0.0,0.0,20,@BBC
120,0.0,Sun Nov 05 09:24:59 +0000 2017,1.0,0.0,0.0,21,@BBC
121,0.3818,Sun Nov 05 09:24:54 +0000 2017,0.822,0.0,0.178,22,@BBC
122,0.2263,Sun Nov 05 09:24:48 +0000 2017,0.917,0.0,0.083,23,@BBC
123,0.8316,Sun Nov 05 09:24:40 +0000 2017,0.729,0.0,0.271,24,@BBC
124,0.0,Sun Nov 05 08:30:15 +0000 2017,1.0,0.0,0.0,25,@BBC
125,0.7096,Sun Nov 05 08:01:01 +0000 2017,0.688,0.0,0.312,26,@BBC
126,-0.2406,Sat Nov 04 21:24:11 +0000 2017,0.915,0.085,0.0,27,@BBC
127,0.0,Sat Nov 04 21:03:00 +0000 2017,1.0,0.0,0.0,28,@BBC
128,0.296,Sat Nov 04 20:03:04 +0000 2017,0.702,0.124,0.174,29,@BBC
129,-0.8271,Sat Nov 04 19:30:01 +0000 2017,0.58,0.42,0.0,30,@BBC
130,0.0,Sat Nov 04 18:54:03 +0000 2017,1.0,0.0,0.0,31,@BBC
131,0.0772,Sat Nov 04 18:30:11 +0000 2017,0.817,0.086,0.097,32,@BBC
132,0.0,Sat Nov 04 18:01:03 +0000 2017,1.0,0.0,0.0,33,@BBC
133,-0.3182,Sat Nov 04 17:30:08 +0000 2017,0.827,0.173,0.0,34,@BBC
134,0.25,Sat Nov 04 17:00:04 +0000 2017,0.92,0.0,0.08,35,@BBC
135,0.3612,Sat Nov 04 16:31:01 +0000 2017,0.777,0.073,0.15,36,@BBC
136,0.7929,Sat Nov 04 16:00:06 +0000 2017,0.719,0.0,0.281,37,@BBC
137,0.4877,Sat Nov 04 15:32:06 +0000 2017,0.843,0.0,0.157,38,@BBC
138,0.0,Sat Nov 04 15:00:12 +0000 2017,1.0,0.0,0.0,39,@BBC
139,0.5994,Sat Nov 04 14:53:43 +0000 2017,0.837,0.0,0.163,40,@BBC
140,0.0,Sat Nov 04 14:53:11 +0000 2017,1.0,0.0,0.0,41,@BBC
141,0.0,Sat Nov 04 14:52:17 +0000 2017,1.0,0.0,0.0,42,@BBC
142,0.4588,Sat Nov 04 14:44:58 +0000 2017,0.857,0.0,0.143,43,@BBC
143,0.0,Sat Nov 04 14:26:38 +0000 2017,1.0,0.0,0.0,44,@BBC
144,0.6369,Sat Nov 04 14:26:06 +0000 2017,0.846,0.0,0.154,45,@BBC
145,-0.6249,Sat Nov 04 14:03:04 +0000 2017,0.638,0.362,0.0,46,@BBC
146,-0.3612,Sat Nov 04 13:30:07 +0000 2017,0.878,0.122,0.0,47,@BBC
147,0.0,Sat Nov 04 13:03:09 +0000 2017,1.0,0.0,0.0,48,@BBC
148,0.0,Sat Nov 04 12:32:03 +0000 2017,1.0,0.0,0.0,49,@BBC
149,-0.3182,Sat Nov 04 12:03:04 +0000 2017,0.881,0.119,0.0,50,@BBC
150,-0.25,Sat Nov 04 11:30:05 +0000 2017,0.693,0.172,0.135,51,@BBC
151,0.0,Sat Nov 04 11:01:02 +0000 2017,1.0,0.0,0.0,52,@BBC
152,-0.1531,Sat Nov 04 10:30:05 +0000 2017,0.675,0.155,0.171,53,@BBC
153,-0.1779,Sat Nov 04 09:30:04 +0000 2017,0.805,0.195,0.0,54,@BBC
154,0.8225,Sat Nov 04 09:24:21 +0000 2017,0.699,0.0,0.301,55,@BBC
155,0.4019,Sat Nov 04 09:23:31 +0000 2017,0.856,0.0,0.144,56,@BBC
156,0.7351,Sat Nov 04 09:22:39 +0000 2017,0.788,0.0,0.212,57,@BBC
157,0.7644,Sat Nov 04 09:00:04 +0000 2017,0.645,0.0,0.355,58,@BBC
158,0.0,Sat Nov 04 08:30:06 +0000 2017,1.0,0.0,0.0,59,@BBC
159,0.5994,Sat Nov 04 08:03:01 +0000 2017,0.794,0.0,0.206,60,@BBC
160,0.3744,Fri Nov 03 23:51:35 +0000 2017,0.811,0.0,0.189,61,@BBC
161,0.5719,Fri Nov 03 23:51:06 +0000 2017,0.764,0.0,0.236,62,@BBC
162,0.0,Fri Nov 03 23:50:05 +0000 2017,1.0,0.0,0.0,63,@BBC
163,-0.5994,Fri Nov 03 19:31:04 +0000 2017,0.794,0.206,0.0,64,@BBC
