,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
288,0.6514,Sat Oct 14 13:56:58 +0000 2017,0.787,0.0,0.213,89,@CBS
289,0.0,Sat Oct 14 00:26:38 +0000 2017,1.0,0.0,0.0,90,@CBS
290,0.6103,Thu Oct 12 23:48:27 +0000 2017,0.827,0.0,0.173,91,@CBS
291,0.0,Thu Oct 12 20:55:05 +0000 2017,1.0,0.0,0.0,92,@CBS
292,0.0,Thu Oct 12 18:03:41 +0000 2017,1.0,0.0,0.0,93,@CBS
293,0.5093,Thu Oct 12 15:08:16 +0000 2017,0.845,0.0,0.155,94,@CBS
294,0.0629,Wed Oct 11 21:13:49 +0000 2017,0.883,0.053,0.064,95,@CBS
295,0.0,Tue Oct 10 18:22:42 +0000 2017,1.0,0.0,0.0,96,@CBS
296,0.891,Tue Oct 10 13:47:55 +0000 2017,0.602,0.0,0.398,97,@CBS
297,0.6114,Tue Oct 10 00:35:23 +0000 2017,0.737,0.0,0.263,98,@CBS
298,-0.4767,Mon Oct 09 21:54:20 +0000 2017,0.871,0.129,0.0,99,@CBS
299,0.0,Mon Oct 09 00:34:36 +0000 2017,1.0,0.0,0.0,100,@CBS
300,-0.5242,Sun Nov 05 11:31:18 +0000 2017,0.732,0.268,0.0,1,@Fox
301,0.9274,Sun Nov 05 05:49:08 +0000 2017,0.447,0.0,0.553,2,@Fox
302,-0.8126,Sun Nov 05 02:29:31 +0000 2017,0.625,0.321,0.054,3,@Fox
303,0.7264,Sun Nov 05 02:02:51 +0000 2017,0.724,0.0,0.276,4,@Fox
304,-0.3919,Sun Nov 05 00:04:21 +0000 2017,0.62,0.258,0.121,5,@Fox
305,-0.5719,Sat Nov 04 23:44:07 +0000 2017,0.575,0.425,0.0,6,@Fox
306,0.3182,Sat Nov 04 21:32:24 +0000 2017,0.905,0.0,0.095,7,@Fox
307,-0.6249,Sat Nov 04 21:31:19 +0000 2017,0.637,0.263,0.1,8,@Fox
308,0.8481,Sat Nov 04 20:51:15 +0000 2017,0.662,0.0,0.338,9,@Fox
309,0.3818,Sat Nov 04 08:45:07 +0000 2017,0.606,0.0,0.394,10,@Fox
310,-0.5267,Sat Nov 04 02:49:35 +0000 2017,0.657,0.234,0.109,11,@Fox
311,-0.2144,Sat Nov 04 02:07:49 +0000 2017,0.907,0.093,0.0,12,@Fox
312,0.4939,Sat Nov 04 01:51:25 +0000 2017,0.543,0.0,0.457,13,@Fox
313,-0.3781,Sat Nov 04 01:46:45 +0000 2017,0.786,0.143,0.07,14,@Fox
314,0.807,Sat Nov 04 01:45:30 +0000 2017,0.552,0.0,0.448,15,@Fox
315,-0.3612,Fri Nov 03 06:31:12 +0000 2017,0.902,0.098,0.0,16,@Fox
316,-0.1027,Fri Nov 03 06:11:08 +0000 2017,0.92,0.08,0.0,17,@Fox
317,0.7644,Fri Nov 03 06:09:26 +0000 2017,0.625,0.0,0.375,18,@Fox
318,0.5574,Fri Nov 03 03:14:55 +0000 2017,0.603,0.0,0.397,19,@Fox
319,0.4019,Fri Nov 03 03:13:23 +0000 2017,0.891,0.0,0.109,20,@Fox
320,0.0,Fri Nov 03 02:13:03 +0000 2017,1.0,0.0,0.0,21,@Fox
321,0.4588,Fri Nov 03 02:11:00 +0000 2017,0.7,0.0,0.3,22,@Fox
322,0.5719,Thu Nov 02 22:24:09 +0000 2017,0.466,0.201,0.333,23,@Fox
323,0.4215,Thu Nov 02 22:22:23 +0000 2017,0.865,0.0,0.135,24,@Fox
324,-0.7351,Thu Nov 02 22:13:35 +0000 2017,0.326,0.674,0.0,25,@Fox
325,0.3182,Thu Nov 02 22:07:42 +0000 2017,0.839,0.0,0.161,26,@Fox
326,0.807,Thu Nov 02 21:15:54 +0000 2017,0.354,0.0,0.646,27,@Fox
327,0.3802,Thu Nov 02 20:51:11 +0000 2017,0.536,0.0,0.464,28,@Fox
328,0.3802,Thu Nov 02 20:50:57 +0000 2017,0.868,0.0,0.132,29,@Fox
329,0.0,Thu Nov 02 20:48:31 +0000 2017,1.0,0.0,0.0,30,@Fox
330,0.4912,Thu Nov 02 20:11:28 +0000 2017,0.863,0.0,0.137,31,@Fox
331,-0.296,Thu Nov 02 05:28:48 +0000 2017,0.312,0.688,0.0,32,@Fox
332,0.0,Thu Nov 02 05:13:31 +0000 2017,1.0,0.0,0.0,33,@Fox
333,0.0,Thu Nov 02 04:56:01 +0000 2017,1.0,0.0,0.0,34,@Fox
334,0.6486,Thu Nov 02 04:02:23 +0000 2017,0.762,0.0,0.238,35,@Fox
335,-0.3818,Thu Nov 02 03:41:27 +0000 2017,0.843,0.157,0.0,36,@Fox
336,0.25,Thu Nov 02 03:40:22 +0000 2017,0.625,0.153,0.222,37,@Fox
337,0.0,Thu Nov 02 03:26:42 +0000 2017,1.0,0.0,0.0,38,@Fox
338,-0.0201,Thu Nov 02 03:21:09 +0000 2017,0.813,0.096,0.09,39,@Fox
339,0.4939,Thu Nov 02 02:47:49 +0000 2017,0.738,0.0,0.262,40,@Fox
340,0.5859,Thu Nov 02 02:42:19 +0000 2017,0.798,0.0,0.202,41,@Fox
341,0.0,Thu Nov 02 02:36:37 +0000 2017,1.0,0.0,0.0,42,@Fox
342,0.4019,Thu Nov 02 02:29:18 +0000 2017,0.769,0.0,0.231,43,@Fox
343,0.0,Thu Nov 02 01:59:58 +0000 2017,1.0,0.0,0.0,44,@Fox
344,0.6696,Thu Nov 02 01:57:43 +0000 2017,0.785,0.0,0.215,45,@Fox
345,0.6239,Thu Nov 02 01:42:54 +0000 2017,0.71,0.0,0.29,46,@Fox
346,0.2144,Wed Nov 01 23:46:43 +0000 2017,0.922,0.0,0.078,47,@Fox
347,-0.296,Wed Nov 01 23:02:37 +0000 2017,0.919,0.081,0.0,48,@Fox
348,0.4215,Wed Nov 01 23:00:47 +0000 2017,0.877,0.0,0.123,49,@Fox
349,-0.7579,Wed Nov 01 23:00:08 +0000 2017,0.681,0.319,0.0,50,@Fox
350,0.4854,Wed Nov 01 21:59:48 +0000 2017,0.645,0.118,0.237,51,@Fox
351,0.25,Wed Nov 01 21:59:22 +0000 2017,0.606,0.159,0.235,52,@Fox
352,-0.1531,Wed Nov 01 21:17:51 +0000 2017,0.741,0.144,0.116,53,@Fox
353,-0.2183,Wed Nov 01 21:14:44 +0000 2017,0.911,0.089,0.0,54,@Fox
354,-0.1759,Wed Nov 01 21:12:43 +0000 2017,0.909,0.091,0.0,55,@Fox
355,-0.7854,Wed Nov 01 21:12:02 +0000 2017,0.722,0.278,0.0,56,@Fox
356,0.8357,Wed Nov 01 21:11:21 +0000 2017,0.612,0.0,0.388,57,@Fox
357,0.0,Wed Nov 01 21:11:04 +0000 2017,0.742,0.129,0.129,58,@Fox
358,0.0,Wed Nov 01 21:10:41 +0000 2017,1.0,0.0,0.0,59,@Fox
359,-0.296,Wed Nov 01 20:43:17 +0000 2017,0.82,0.18,0.0,60,@Fox
360,-0.296,Wed Nov 01 20:37:27 +0000 2017,0.577,0.423,0.0,61,@Fox
361,0.8516,Wed Nov 01 20:27:00 +0000 2017,0.712,0.0,0.288,62,@Fox
362,0.4738,Wed Nov 01 19:01:11 +0000 2017,0.493,0.0,0.507,63,@Fox
363,0.3612,Wed Nov 01 19:00:48 +0000 2017,0.545,0.0,0.455,64,@Fox
364,0.3818,Wed Nov 01 18:56:28 +0000 2017,0.694,0.097,0.208,65,@Fox
365,0.0,Wed Nov 01 18:36:38 +0000 2017,1.0,0.0,0.0,66,@Fox
366,0.5095,Wed Nov 01 09:43:11 +0000 2017,0.852,0.0,0.148,67,@Fox
367,0.0,Wed Nov 01 09:42:10 +0000 2017,1.0,0.0,0.0,68,@Fox
368,0.4588,Wed Nov 01 09:40:12 +0000 2017,0.833,0.0,0.167,69,@Fox
369,0.7959,Wed Nov 01 04:52:50 +0000 2017,0.664,0.0,0.336,70,@Fox
370,0.0,Wed Nov 01 00:53:09 +0000 2017,1.0,0.0,0.0,71,@Fox
371,-0.4245,Wed Nov 01 00:14:09 +0000 2017,0.66,0.213,0.127,72,@Fox
372,0.0772,Wed Nov 01 00:05:56 +0000 2017,0.885,0.0,0.115,73,@Fox
373,0.0772,Tue Oct 31 23:55:55 +0000 2017,0.794,0.0,0.206,74,@Fox
374,0.8402,Tue Oct 31 23:33:05 +0000 2017,0.643,0.0,0.357,75,@Fox
375,0.8622,Tue Oct 31 22:46:59 +0000 2017,0.593,0.0,0.407,76,@Fox
376,0.7184,Tue Oct 31 22:46:18 +0000 2017,0.684,0.0,0.316,77,@Fox
377,0.7269,Tue Oct 31 22:43:26 +0000 2017,0.736,0.0,0.264,78,@Fox
378,0.8313,Tue Oct 31 22:42:10 +0000 2017,0.204,0.0,0.796,79,@Fox
379,0.0,Tue Oct 31 22:39:54 +0000 2017,1.0,0.0,0.0,80,@Fox
380,0.6249,Tue Oct 31 22:23:44 +0000 2017,0.631,0.0,0.369,81,@Fox
381,-0.296,Tue Oct 31 19:43:12 +0000 2017,0.82,0.18,0.0,82,@Fox
382,0.5319,Tue Oct 31 19:35:21 +0000 2017,0.226,0.0,0.774,83,@Fox
383,0.5267,Tue Oct 31 19:34:04 +0000 2017,0.833,0.0,0.167,84,@Fox
384,0.0,Tue Oct 31 05:12:30 +0000 2017,1.0,0.0,0.0,85,@Fox
385,0.0,Tue Oct 31 05:10:02 +0000 2017,1.0,0.0,0.0,86,@Fox
386,-0.5859,Mon Oct 30 03:54:16 +0000 2017,0.73,0.204,0.066,87,@Fox
387,0.7418,Mon Oct 30 02:06:39 +0000 2017,0.389,0.0,0.611,88,@Fox
388,0.807,Mon Oct 30 02:00:40 +0000 2017,0.759,0.0,0.241,89,@Fox
389,0.6369,Sun Oct 29 23:57:04 +0000 2017,0.656,0.0,0.344,90,@Fox
390,0.4939,Sat Oct 28 17:26:49 +0000 2017,0.61,0.0,0.39,91,@Fox
391,0.4215,Sat Oct 28 17:22:54 +0000 2017,0.882,0.0,0.118,92,@Fox
392,-0.4201,Sat Oct 28 17:21:47 +0000 2017,0.853,0.147,0.0,93,@Fox
393,0.0,Sat Oct 28 17:20:01 +0000 2017,1.0,0.0,0.0,94,@Fox
394,-0.25,Sat Oct 28 16:52:02 +0000 2017,0.769,0.135,0.096,95,@Fox
395,-0.3321,Sat Oct 28 16:14:43 +0000 2017,0.748,0.252,0.0,96,@Fox
396,-0.25,Sat Oct 28 16:10:52 +0000 2017,0.778,0.13,0.093,97,@Fox
397,0.7345,Sat Oct 28 15:56:44 +0000 2017,0.492,0.0,0.508,98,@Fox
398,0.0,Sat Oct 28 03:29:06 +0000 2017,1.0,0.0,0.0,99,@Fox
399,0.0,Sat Oct 28 03:28:10 +0000 2017,1.0,0.0,0.0,100,@Fox
400,0.0,Sun Nov 05 20:00:13 +0000 2017,1.0,0.0,0.0,1,@nytimes
401,-0.6705,Sun Nov 05 19:56:59 +0000 2017,0.78,0.22,0.0,2,@nytimes
402,0.3612,Sun Nov 05 19:45:05 +0000 2017,0.865,0.0,0.135,3,@nytimes
403,0.34,Sun Nov 05 19:30:04 +0000 2017,0.573,0.187,0.24,4,@nytimes
404,0.0,Sun Nov 05 19:15:06 +0000 2017,1.0,0.0,0.0,5,@nytimes
405,0.0,Sun Nov 05 19:00:11 +0000 2017,1.0,0.0,0.0,6,@nytimes
406,0.0,Sun Nov 05 18:45:07 +0000 2017,1.0,0.0,0.0,7,@nytimes
407,0.802,Sun Nov 05 18:44:32 +0000 2017,0.613,0.0,0.387,8,@nytimes
408,-0.3612,Sun Nov 05 18:30:03 +0000 2017,0.865,0.135,0.0,9,@nytimes
409,0.6369,Sun Nov 05 18:15:07 +0000 2017,0.743,0.0,0.257,10,@nytimes
410,0.4215,Sun Nov 05 18:00:16 +0000 2017,0.763,0.081,0.157,11,@nytimes
411,-0.7783,Sun Nov 05 17:45:12 +0000 2017,0.596,0.404,0.0,12,@nytimes
412,-0.4939,Sun Nov 05 17:30:08 +0000 2017,0.756,0.244,0.0,13,@nytimes
413,0.2023,Sun Nov 05 17:15:12 +0000 2017,0.833,0.0,0.167,14,@nytimes
414,0.8225,Sun Nov 05 17:05:26 +0000 2017,0.631,0.0,0.369,15,@nytimes
415,0.25,Sun Nov 05 17:00:16 +0000 2017,0.882,0.0,0.118,16,@nytimes
416,0.5719,Sun Nov 05 16:51:12 +0000 2017,0.821,0.0,0.179,17,@nytimes
417,-0.4019,Sun Nov 05 16:45:04 +0000 2017,0.856,0.144,0.0,18,@nytimes
418,-0.4215,Sun Nov 05 16:30:07 +0000 2017,0.797,0.203,0.0,19,@nytimes
419,0.0,Sun Nov 05 16:15:08 +0000 2017,1.0,0.0,0.0,20,@nytimes
420,-0.8834,Sun Nov 05 16:00:04 +0000 2017,0.608,0.392,0.0,21,@nytimes
421,0.0387,Sun Nov 05 15:47:51 +0000 2017,0.948,0.0,0.052,22,@nytimes
422,0.0,Sun Nov 05 15:45:03 +0000 2017,1.0,0.0,0.0,23,@nytimes
423,0.0,Sun Nov 05 15:30:10 +0000 2017,1.0,0.0,0.0,24,@nytimes
424,-0.4215,Sun Nov 05 15:15:08 +0000 2017,0.843,0.157,0.0,25,@nytimes
425,0.6124,Sun Nov 05 15:02:07 +0000 2017,0.58,0.12,0.301,26,@nytimes
426,0.0,Sun Nov 05 14:50:09 +0000 2017,1.0,0.0,0.0,27,@nytimes
427,0.0,Sun Nov 05 14:45:31 +0000 2017,1.0,0.0,0.0,28,@nytimes
428,0.0,Sun Nov 05 14:25:39 +0000 2017,1.0,0.0,0.0,29,@nytimes
429,0.0,Sun Nov 05 14:19:34 +0000 2017,1.0,0.0,0.0,30,@nytimes
430,0.6249,Sun Nov 05 14:12:03 +0000 2017,0.843,0.0,0.157,31,@nytimes
431,-0.4215,Sun Nov 05 13:53:34 +0000 2017,0.697,0.209,0.094,32,@nytimes
432,0.4588,Sun Nov 05 13:46:05 +0000 2017,0.833,0.0,0.167,33,@nytimes
433,0.128,Sun Nov 05 13:40:03 +0000 2017,0.717,0.13,0.152,34,@nytimes
434,-0.2263,Sun Nov 05 13:30:12 +0000 2017,0.899,0.101,0.0,35,@nytimes
435,0.0,Sun Nov 05 13:17:40 +0000 2017,1.0,0.0,0.0,36,@nytimes
436,0.0,Sun Nov 05 13:14:49 +0000 2017,1.0,0.0,0.0,37,@nytimes
437,0.0,Sun Nov 05 13:00:16 +0000 2017,1.0,0.0,0.0,38,@nytimes
438,0.0572,Sun Nov 05 12:45:06 +0000 2017,0.887,0.052,0.061,39,@nytimes
439,-0.6249,Sun Nov 05 12:30:09 +0000 2017,0.823,0.177,0.0,40,@nytimes
440,0.0,Sun Nov 05 12:21:08 +0000 2017,1.0,0.0,0.0,41,@nytimes
441,0.0,Sun Nov 05 12:00:27 +0000 2017,1.0,0.0,0.0,42,@nytimes
442,-0.2484,Sun Nov 05 11:57:51 +0000 2017,0.847,0.153,0.0,43,@nytimes
443,0.0,Sun Nov 05 11:30:09 +0000 2017,1.0,0.0,0.0,44,@nytimes
444,0.5106,Sun Nov 05 11:11:30 +0000 2017,0.784,0.0,0.216,45,@nytimes
445,-0.5106,Sun Nov 05 11:00:18 +0000 2017,0.82,0.18,0.0,46,@nytimes
446,0.6369,Sun Nov 05 09:50:29 +0000 2017,0.704,0.0,0.296,47,@nytimes
447,0.0,Sun Nov 05 09:47:09 +0000 2017,1.0,0.0,0.0,48,@nytimes
448,0.0,Sun Nov 05 09:45:33 +0000 2017,1.0,0.0,0.0,49,@nytimes
449,0.0,Sun Nov 05 09:28:11 +0000 2017,1.0,0.0,0.0,50,@nytimes
450,-0.8126,Sun Nov 05 09:10:30 +0000 2017,0.73,0.27,0.0,51,@nytimes
451,-0.3632,Sun Nov 05 08:53:20 +0000 2017,0.82,0.18,0.0,52,@nytimes
452,0.0,Sun Nov 05 08:36:23 +0000 2017,1.0,0.0,0.0,53,@nytimes
453,-0.5106,Sun Nov 05 08:18:57 +0000 2017,0.815,0.185,0.0,54,@nytimes
454,-0.1531,Sun Nov 05 08:00:18 +0000 2017,0.89,0.11,0.0,55,@nytimes
455,0.4767,Sun Nov 05 07:55:44 +0000 2017,0.807,0.0,0.193,56,@nytimes
456,0.0,Sun Nov 05 07:39:18 +0000 2017,1.0,0.0,0.0,57,@nytimes
457,0.0,Sun Nov 05 07:22:38 +0000 2017,1.0,0.0,0.0,58,@nytimes
458,-0.3818,Sun Nov 05 07:05:36 +0000 2017,0.69,0.211,0.099,59,@nytimes
459,0.6281,Sun Nov 05 06:48:21 +0000 2017,0.74,0.053,0.207,60,@nytimes
460,0.0,Sun Nov 05 06:31:14 +0000 2017,1.0,0.0,0.0,61,@nytimes
461,0.0,Sun Nov 05 06:13:39 +0000 2017,1.0,0.0,0.0,62,@nytimes
462,0.8402,Sun Nov 05 05:56:02 +0000 2017,0.654,0.0,0.346,63,@nytimes
463,0.5927,Sun Nov 05 05:39:23 +0000 2017,0.806,0.0,0.194,64,@nytimes
464,0.5423,Sun Nov 05 05:20:25 +0000 2017,0.759,0.0,0.241,65,@nytimes
465,0.0,Sun Nov 05 05:12:58 +0000 2017,1.0,0.0,0.0,66,@nytimes
466,-0.34,Sun Nov 05 04:56:28 +0000 2017,0.789,0.211,0.0,67,@nytimes
467,0.0,Sun Nov 05 04:47:21 +0000 2017,1.0,0.0,0.0,68,@nytimes
468,0.5719,Sun Nov 05 04:35:49 +0000 2017,0.654,0.0,0.346,69,@nytimes
469,0.7506,Sun Nov 05 04:18:40 +0000 2017,0.758,0.0,0.242,70,@nytimes
470,-0.765,Sun Nov 05 04:01:13 +0000 2017,0.708,0.292,0.0,71,@nytimes
471,0.4019,Sun Nov 05 03:42:57 +0000 2017,0.876,0.0,0.124,72,@nytimes
472,0.0772,Sun Nov 05 03:24:18 +0000 2017,0.86,0.0,0.14,73,@nytimes
473,0.0,Sun Nov 05 03:05:24 +0000 2017,1.0,0.0,0.0,74,@nytimes
474,-0.4767,Sun Nov 05 02:47:08 +0000 2017,0.86,0.14,0.0,75,@nytimes
475,0.0,Sun Nov 05 02:29:23 +0000 2017,1.0,0.0,0.0,76,@nytimes
476,0.5267,Sun Nov 05 02:10:41 +0000 2017,0.746,0.0,0.254,77,@nytimes
477,0.0772,Sun Nov 05 02:07:03 +0000 2017,0.843,0.0,0.157,78,@nytimes
478,0.0,Sun Nov 05 01:48:47 +0000 2017,1.0,0.0,0.0,79,@nytimes
479,0.5106,Sun Nov 05 01:31:09 +0000 2017,0.688,0.095,0.217,80,@nytimes
480,0.296,Sun Nov 05 01:13:21 +0000 2017,0.602,0.133,0.265,81,@nytimes
481,0.0,Sun Nov 05 00:54:56 +0000 2017,1.0,0.0,0.0,82,@nytimes
482,0.0,Sun Nov 05 00:37:05 +0000 2017,1.0,0.0,0.0,83,@nytimes
483,0.0,Sun Nov 05 00:19:26 +0000 2017,1.0,0.0,0.0,84,@nytimes
484,-0.4404,Sun Nov 05 00:18:02 +0000 2017,0.873,0.127,0.0,85,@nytimes
485,0.5106,Sun Nov 05 00:03:08 +0000 2017,0.763,0.072,0.165,86,@nytimes
486,0.4019,Sat Nov 04 23:46:15 +0000 2017,0.769,0.0,0.231,87,@nytimes
487,-0.5574,Sat Nov 04 23:28:14 +0000 2017,0.65,0.248,0.102,88,@nytimes
488,0.6249,Sat Nov 04 23:09:33 +0000 2017,0.806,0.0,0.194,89,@nytimes
489,-0.4417,Sat Nov 04 22:51:07 +0000 2017,0.673,0.206,0.121,90,@nytimes
490,-0.5267,Sat Nov 04 22:33:07 +0000 2017,0.726,0.274,0.0,91,@nytimes
491,0.0772,Sat Nov 04 22:31:04 +0000 2017,0.929,0.0,0.071,92,@nytimes
492,0.0,Sat Nov 04 22:16:03 +0000 2017,1.0,0.0,0.0,93,@nytimes
493,0.5994,Sat Nov 04 22:01:03 +0000 2017,0.719,0.0,0.281,94,@nytimes
494,0.0,Sat Nov 04 21:57:24 +0000 2017,1.0,0.0,0.0,95,@nytimes
495,0.2023,Sat Nov 04 21:46:04 +0000 2017,0.816,0.0,0.184,96,@nytimes
496,0.0,Sat Nov 04 21:31:03 +0000 2017,1.0,0.0,0.0,97,@nytimes
497,0.4215,Sat Nov 04 21:16:05 +0000 2017,0.865,0.0,0.135,98,@nytimes
498,-0.5106,Sat Nov 04 21:12:23 +0000 2017,0.845,0.155,0.0,99,@nytimes
499,0.0772,Sat Nov 04 20:46:02 +0000 2017,0.699,0.144,0.157,100,@nytimes
