,city_name,country_code,Temp,Humidity,Cloudiness,Wind Speed,Lat,Long
456,agadir,ma,53.6,87,0,6.93,30.42,-9.6
457,sinnamary,gf,80.47,98,92,9.75,5.38,-52.95
458,namibe,ao,68.59,100,0,5.17,-15.2,12.15
459,plettenberg bay,za,61.71,99,88,0.36,-34.05,23.37
460,takoradi,gh,78.99,100,8,7.4,4.88,-1.76
461,santa cruz,cr,77,94,20,3.36,10.26,-85.59
462,puerto ayora,ec,68.5,100,0,10.42,-0.74,-90.35
463,nabire,id,82.14,75,24,2.37,-3.37,135.48
464,nha trang,vn,79.57,90,76,19.82,12.25,109.18
465,ugoofaaru,mv,83.53,100,80,10.2,5.67,73
466,kirkenaer,no,35.83,60,0,10.09,60.46,12.06
467,saint-joseph,re,69.64,88,92,14.99,-21.37,55.62
468,saleaula,ws,,,,,,
469,viligili,mv,82.36,100,0,7.63,0.53,72.93
470,formoso do araguaia,br,80.16,72,0,4.16,-11.73,-49.07
471,hienghene,nc,74.62,100,8,11.21,-20.68,164.93
472,goycay,az,46.63,72,0,3.15,40.65,47.74
473,kamaishi,jp,46.4,75,75,16.11,39.27,141.88
474,saskatoon,ca,28.4,68,90,23.04,52.12,-106.63
475,plainview,us,64.4,93,90,17.22,40.78,-73.47
476,westport,nz,62.02,79,68,2.71,-41.75,171.6
477,kyra,ru,34.53,32,12,3.15,49.58,111.98
478,mokhsogollokh,ru,4.78,51,0,8.3,61.47,128.92
479,karaton,kz,40.42,92,8,9.42,46.44,53.49
480,plymouth,us,38.61,100,90,4.7,45.01,-93.46
481,vitim,ru,29.53,73,68,6.73,59.45,112.56
482,saint-philippe,re,69.69,88,92,14.99,-21.36,55.77
483,korkino,ru,33.8,86,75,17.9,54.89,61.4
484,samusu,ws,48.2,87,40,2.24,37.75,26.98
485,along,in,62.11,64,92,1.92,28.17,94.77
486,ratlam,in,73.14,39,0,3.15,23.32,75.07
487,whitianga,nz,60.85,98,0,15.46,-36.83,175.7
488,comarapa,bo,60.76,83,8,4.05,-17.9,-64.48
489,kazalinsk,kz,44.16,90,0,8.97,45.85,62.16
490,lompoc,us,57.25,87,1,5.82,34.64,-120.46
491,malindi,ke,77.73,91,100,11.99,-3.22,40.12
492,hermanus,za,51.76,94,32,4.16,-34.42,19.23
493,albany,au,66.43,74,0,6.96,-35.02,117.89
494,grafton,us,62.04,93,90,11.41,42.21,-71.69
495,harigue,ph,80.38,95,68,4.27,13.25,123.37
496,kerteh,my,75.2,94,75,3.36,4.51,103.45
497,sherlovaya gora,ru,36.01,44,0,4.61,50.57,116.25
498,kitgum,ug,62.11,92,68,4.94,3.28,32.89
499,sataua,ws,33.8,100,75,14.99,60.15,24.76
500,kilis,tr,55.4,93,75,13.44,36.72,37.12
501,french harbor,hn,77,78,40,7.85,16.35,-86.43
502,san cristobal,ec,68.28,100,24,9.64,-0.9,-89.62
503,satitoa,ws,67.06,81,0,2.71,30.3,76.46
504,alyangula,au,87.4,86,0,6.85,-13.85,136.42
505,fort nelson,ca,33.8,64,20,3.6,58.81,-122.7
506,korla,cn,42.49,69,0,1.25,41.76,86.15
507,amatitan,mx,69.8,56,40,4.7,20.83,-103.72
508,urumqi,cn,35.6,64,0,2.24,43.8,87.6
509,solnechnyy,ru,32.95,45,0,4.83,50.72,136.63
510,sembe,cg,68.86,98,88,2.26,1.65,14.58
511,mocuba,mz,70.53,79,92,6.62,-17,37
512,padang,id,80.43,100,92,4.61,-0.95,100.35
513,pouembout,nc,83.04,41,48,5.73,-21.13,164.9
514,la ronge,ca,26.6,73,90,14.99,55.1,-105.28
515,poum,nc,75.52,100,0,11.43,-20.23,164.02
516,williston,us,33.87,80,90,25.28,48.15,-103.62
517,palabuhanratu,id,83.04,100,0,10.42,-6.95,106.49
518,salalah,om,77,73,40,4.7,17.02,54.09
519,savannah bight,hn,78.63,100,100,8.19,16.45,-85.85
520,maloshuyka,ru,33.63,100,88,11.65,63.9,38.06
521,mahenge,tz,67.87,93,68,1.36,-8.68,36.72
522,poya,nc,74.26,100,0,11.54,-21.35,165.15
523,sur,om,75.25,100,0,8.19,22.57,59.53
524,kavaratti,in,84.93,97,32,12.88,10.57,72.64
525,sungaipenuh,id,74.04,74,76,1.03,-2.08,101.38
526,lavaltrie,ca,53.6,93,90,11.41,45.88,-73.28
527,bahia honda,cu,71.29,85,0,7.52,22.9,-83.16
528,kosikha,ru,31.83,93,68,8.86,53.36,84.58
529,batemans bay,au,74.35,58,88,3.49,-35.72,150.18
530,odweyne,so,58.83,96,44,3.6,9.41,45.06
531,mount pleasant,us,45.93,57,1,16.11,32.79,-79.86
532,aksay,kz,44.88,97,88,13.22,50.68,52.43
533,myrtle beach,us,49.44,65,1,17.22,33.69,-78.89
534,hit,iq,67.42,56,64,0.13,33.64,42.83
535,potam,mx,80.6,78,5,9.17,27.6,-110.38
536,high level,ca,30.2,80,40,2.24,58.52,-117.14
537,faya,td,69.18,30,0,14.23,17.93,19.1
538,the valley,ai,82.59,97,92,9.53,18.22,-63.06
539,pevek,ru,13.69,100,68,28.1,69.7,170.31
540,saint-augustin,ca,42.85,100,76,8.86,51.23,-58.65
541,ahuimanu,us,74.05,79,90,3.36,21.44,-157.84
542,ishigaki,jp,73.4,53,40,21.92,24.34,124.16
543,soyo,ao,73.72,98,76,3.94,-6.13,12.37
544,norrtalje,se,35.6,64,0,23.04,59.76,18.7
545,harper,lr,79.71,100,80,5.95,4.38,-7.72
546,arica,cl,59.65,72,0,2.24,-18.48,-70.3
547,aksha,ru,39.25,29,0,4.05,50.28,113.29
548,esperance,au,67.83,63,32,4.61,-33.87,121.9
549,bud,no,38.12,100,75,8.05,62.8,6.89
550,taolanaro,mg,64.4,88,75,11.41,-25.02,46.97
551,orlik,ru,19.18,83,0,2.37,52.52,99.83
552,virginia beach,us,59.79,93,90,10.29,36.85,-75.98
553,havoysund,no,30.2,86,75,4.7,71,24.66
554,flinders,au,89.6,14,40,17.22,-34.58,150.86
555,presidencia roque saenz pena,ar,66.52,90,8,5.17,-26.79,-60.44
556,hilo,us,71.82,77,75,6.93,19.73,-155.09
557,gamba,ga,74.08,98,100,4.61,-2.65,10
558,norman wells,ca,33.8,80,75,4.7,65.28,-126.83
559,cocorit,mx,80.6,54,5,5.82,27.58,-109.97
560,alta gracia,ar,62.6,77,75,11.41,-31.65,-64.43
561,southbridge,nz,75.2,41,0,2.24,-43.82,172.25
562,helong,cn,36.64,43,0,9.98,42.54,129
563,traralgon,au,54.33,77,68,5.39,-38.18,146.53
564,beatrice,us,53.6,66,40,16.11,40.27,-96.75
565,nanning,cn,68,56,0,8.95,22.82,108.32
566,punta alta,ar,54.78,96,0,16.46,-38.88,-62.07
567,bac can,vn,75.2,57,0,12.75,21.59,105.84
568,kahului,us,79.25,61,40,12.75,20.89,-156.47
569,barrow,us,24.8,85,90,14.99,71.29,-156.79
570,conceicao do araguaia,br,79.57,77,24,4.05,-8.26,-49.26
571,tsihombe,mg,65.62,62,44,13,-25.3,45.48
572,mrirt,ma,42.13,70,0,2.37,33.15,-5.83
573,quezon,ph,79.98,85,20,3.38,7.73,125.1
574,kyabe,td,72.51,77,0,2.82,9.45,18.94
575,orumiyeh,ir,64.4,27,20,16.11,37.55,45.08
576,bethel,us,64.18,93,90,16.11,41.37,-73.41
577,betsiamites,ca,50.56,93,90,14.99,48.94,-68.65
578,pedras de fogo,br,77,88,40,8.05,-7.4,-35.12
579,cameta,br,81.69,72,12,7.29,-2.24,-49.5
580,quatre cocos,mu,73.4,94,75,3.36,-20.21,57.76
581,college,us,31.95,88,40,3.6,64.86,-147.8
582,kapaa,us,81.59,69,1,12.75,22.08,-159.32
583,reconquista,ar,68.23,80,24,6.96,-29.15,-59.65
584,geraldton,au,80.6,15,0,12.75,-28.77,114.6
585,camocim,br,77.95,84,20,15.01,-2.9,-40.84
586,rio cuarto,ar,53.6,62,40,5.82,-33.13,-64.35
587,aasiaat,gl,31.83,100,92,4.05,68.71,-52.87
588,parabel,ru,25.03,75,76,10.31,58.7,81.48
589,rio gallegos,ar,41,80,90,23.04,-51.62,-69.22
590,illoqqortoormiut,gl,69.81,97,64,7.74,38.53,-28.64
591,buarcos,pt,50,93,0,2.24,40.17,-8.88
592,cedar city,us,60.8,29,1,8.05,37.68,-113.06
593,te anau,nz,65.04,61,12,7.4,-45.42,167.72
594,comodoro rivadavia,ar,55.4,47,40,10.29,-45.87,-67.5
595,tarudant,ma,53.6,87,0,6.93,30.47,-8.88
596,ilulissat,gl,30.2,92,92,2.71,69.22,-51.1
597,inuvik,ca,25.84,85,75,6.93,68.35,-133.72
598,castro,cl,47.17,100,92,6.96,-42.47,-73.77
599,makakilo city,us,73.67,58,75,9.17,21.35,-158.09
600,concordia,ar,68.41,80,20,2.48,-31.39,-58.02
601,roches noires,mu,73.4,94,75,3.36,-20.11,57.71
602,totness,sr,82.36,97,20,15.57,5.88,-56.32
603,inverness,ca,50,100,90,5.82,46.23,-61.3
604,barra,br,84.48,37,20,11.43,-11.09,-43.14
605,itoman,jp,71.02,64,75,11.41,26.12,127.67
606,nanortalik,gl,34.84,90,36,3.6,60.14,-45.24
607,acari,pe,48.79,84,8,1.59,-15.43,-74.62
608,praia da vitoria,pt,66.2,93,20,7.4,38.73,-27.07
609,kodiak,us,46.4,100,90,9.17,57.79,-152.41
610,nanakuli,us,73.67,73,90,3.71,21.39,-158.15
611,iqaluit,ca,26.6,86,90,4.7,63.75,-68.51
612,tiznit,ma,43.66,68,0,1.92,29.58,-9.5
613,arraial do cabo,br,69.85,97,56,1.81,-22.97,-42.03
614,narsaq,gl,32,63,0,3.36,60.92,-46.05
615,conde,br,77,88,40,8.05,-7.26,-34.91
616,nome,us,33.8,100,90,5.82,64.5,-165.41
617,ningan,cn,38.31,58,44,11.21,44.38,129.43
618,dikson,ru,20.26,91,68,16.8,73.51,80.55
619,nuuk,gl,42.8,93,92,31.09,64.18,-51.72
620,qaanaaq,gl,-4.58,100,0,8.41,77.48,-69.36
621,vila franca do campo,pt,69.8,94,40,5.82,37.72,-25.43
622,bonavista,ca,41.68,100,0,1.92,48.65,-53.11
623,ksenyevka,ru,28.86,59,0,3.38,53.53,119.45
624,sitka,us,41.86,87,90,5.82,57.05,-135.33
625,paamiut,gl,39.25,88,92,18.48,61.99,-49.67
626,maceio,br,69.8,94,20,3.36,-9.67,-35.74
627,araouane,ml,60.94,37,0,3.6,18.9,-3.53
628,wonthaggi,au,55.41,78,92,5.17,-38.6,145.6
